row,col,northing_km,easting_km,fire_norm,animal_norm,danger,removed,residual,has_stationary,has_camera,covered_by_drone,covered_by_human
9,9,-24.36,-136.23,0.018613310306124075,0.3986499377757388,0.4172632480818629,0.0,0.4172632480818629,0,0,0,0
9,10,-24.36,-131.23,0.016150529328137687,0.42063929461357596,0.4367898239417137,0.012035109094008626,0.42475471484770505,0,0,0,0
9,11,-24.36,-126.23,0.023753019117707778,0.4421715241270829,0.46592454324479066,0.017836996673626197,0.44808754657116445,0,0,0,0
9,12,-24.36,-121.23,0.07982720602204091,0.46299119614442896,0.5428184021664699,0.02744004873433959,0.5153783534321303,0,0,0,0
9,13,-24.36,-116.23,0.11799134079141647,0.4828435852598044,0.6008349260512209,0.06060913185496498,0.5402257941962559,0,0,0,0
9,14,-24.36,-111.23,0.11802778006346261,0.5014907348212362,0.6195185148846988,0.12088038581603958,0.49863812906865923,0,0,0,0
9,15,-24.36,-106.23,0.07848488728975626,0.5219538014567875,0.6004386887465437,0.07264424094897357,0.5277944477975701,0,0,0,0
9,16,-24.36,-101.23,0.03489717947283466,0.5532841543894078,0.5881813338622425,0.03324193631395719,0.5549393975482853,0,0,0,0
9,17,-24.36,-96.23,0.018828977728915047,0.583457304533702,0.602286282262617,0.012035109094008593,0.5902511731686084,0,0,0,0
9,18,-24.36,-91.23,0.006458507282701707,0.6106577758756349,0.6171162831583366,0.0,0.6171162831583366,0,0,0,0
9,19,-24.36,-86.23,0.017486381833162982,0.6321480095744302,0.6496343914075932,0.015404939640331,0.6342294517672622,0,0,0,0
9,20,-24.36,-81.23,0.03790853145902592,0.6510196033497236,0.6889281348087496,0.06060913185496498,0.6283190029537846,0,0,0,0
9,21,-24.36,-76.23,0.052381105794480576,0.6676190941913652,0.7200001999858459,0.12088038581603958,0.5991198141698063,0,0,0,0
9,22,-24.36,-71.23,0.06724087897827283,0.681858141456601,0.7490990204348738,0.06060913185496498,0.6884898885799088,0,0,0,0
9,23,-24.36,-66.23,0.07538978167865135,0.6935610185807497,0.768950800259401,0.015404939640331,0.75354586061907,0,0,0,0
9,24,-24.36,-61.23,0.050397050483596356,0.7027388376361458,0.7531358881197421,0.015404939640331,0.7377309484794111,0,0,0,0
9,25,-24.36,-56.23,0.03712321105864641,0.7114890734417779,0.7486122845004244,0.07601407149529597,0.6725982130051285,0,0,0,0
9,26,-24.36,-51.23,0.06438742680963698,0.7212087116651417,0.7855961384747786,0.14371174155828112,0.6418843969164975,0,0,0,0
9,27,-24.36,-46.23,0.0784835803410774,0.730534633924239,0.8090182142653164,0.07601407149529597,0.7330041427700205,0,0,0,0
9,28,-24.36,-41.23,0.03763465311654296,0.7379339112362645,0.7755685643528074,0.03080987928066202,0.7447586850721454,0,0,0,0
9,29,-24.36,-36.23,0.04540129754591285,0.7428193068460656,0.7882206043919784,0.08199752038268354,0.7062230840092949,0,0,1,0
9,30,-24.36,-31.23,0.11529779657285402,0.7447667912004223,0.8600645877732763,0.22139506581833157,0.6386695219549448,0,0,1,0
9,31,-24.36,-26.23,0.16388226452798105,0.74137830925428,0.9052605737822611,0.3291176243768073,0.5761429494054537,0,0,1,0
9,32,-24.36,-21.23,0.2295212191639473,0.7291061701702933,0.9586273893342406,0.6377432279263914,0.32088416140784926,0,0,1,0
9,33,-24.36,-16.23,0.21773283708897906,0.7039070337390612,0.9216398708280402,0.9107534753910679,0.01088639543697234,0,0,1,0
9,34,-24.36,-11.23,0.2108481732964222,0.6632938390839382,0.8741420123803605,0.6674967425379712,0.2066452698423893,0,0,1,0
9,35,-24.36,-6.23,0.1847940818088444,0.6095662504697029,0.7943603322785473,0.34500937816425925,0.44935095411428805,0,0,1,0
9,36,-24.36,-1.23,0.15863692144849528,0.553412035615758,0.7120489570642533,0.2141439772917253,0.497904979772528,0,0,1,1
9,37,-24.36,3.77,0.1061604402013698,0.5463794088283102,0.65253984902968,0.15131520907974955,0.5012246399499305,0,0,1,1
