n_cells,path_km,duration_min,avg_path_danger,max_path_danger,danger_removed,coverage_km2,path_str
6,30.0,25.71,1.553471,1.570514,2.210776,150.0,"20,16;20,15;19,15;18,15;18,16;19,16"
4,20.0,17.14,1.55337,1.569211,1.517969,100.0,"15,16;16,16;16,15;15,15"
4,20.0,17.14,1.553184,1.615475,1.517233,100.0,"9,30;9,31;10,31;10,30"
6,30.0,25.71,1.553155,1.578784,2.243808,150.0,"18,15;17,15;16,15;16,16;17,16;18,16"
6,30.0,25.71,1.552685,1.578784,2.24245,150.0,"19,15;19,16;18,16;17,16;17,15;18,15"
4,20.0,17.14,1.552172,1.569442,1.516555,100.0,"18,16;19,16;19,15;18,15"
6,30.0,25.71,1.551987,1.573674,2.243171,150.0,"16,12;15,12;14,12;14,11;15,11;16,11"
4,20.0,17.14,1.551938,1.658545,1.517679,100.0,"7,40;8,40;8,41;7,41"
6,30.0,25.71,1.55155,1.576952,2.243115,150.0,"11,22;11,23;10,23;10,22;10,21;11,21"
6,30.0,25.71,1.551326,1.629826,2.243819,150.0,"11,31;10,31;10,30;10,29;11,29;11,30"
4,20.0,17.14,1.550769,1.575911,1.517262,100.0,"11,22;11,23;10,23;10,22"
4,20.0,17.14,1.550001,1.559393,1.517969,100.0,"14,13;14,14;15,14;15,13"
6,30.0,25.71,1.549975,1.589565,2.243143,150.0,"11,24;11,25;11,26;10,26;10,25;10,24"
